,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Монтаж,,Монтаж изделий,,,,,44 100 руб.,"8,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Фурнитура Австрийской марки BLUM
Лакокрасочные покрытия произв. Италия. 
МДФ австрийской марки EGGER. 
Стоимость указана при оплате наличными и действует в течении 14 дней.
В стоимость изделий не входит лицевая фурнитура (ручки), техника, каменная столешница.
Стоимость может меняться в случаях: 
   - внесения дополнительных изменений в спецификацию, конструкторскую  рабочую документацию.
   - смены материала и отделки на более дорогой/дешевый",,СТОИМОСТЬ  ДОСТАВКИ:,,,,5 000 руб.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,СТОИМОСТЬ МЕБЕЛИ:,,,,133 500 руб.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ОБЩАЯ СТОИМОСТЬ,,,,182 600 руб.,20 517 руб.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instagram: emerald__msk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Условия оплаты,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,момент оплаты,,% ,сумма,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Оплата  за мебель
(часть 1) ",,аванс для подготовки технической документации и начала производства,,70%,127 820 руб,,Сто двадцать семь тысяч восемьсот двадцать рублей 00 копеек,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Оплата за мебель 
(часть 2)",,доплата перед доставкой мебели к заказчику,,20%,36 520 руб,,Тридцать шесть тысяч пятьсот двадцать рублей 00 копеек,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Оплата за мебель 
(часть 3)",,доплата по завершению монтажа,,10%,18 260 руб,,Восемнадцать тысяч двести шестьдесят рублей 00 копеек,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ОБЩАЯ СТОИМОСТЬ: ,,,,,182 600 руб.,,Сто восемьдесят две тысячи шестьсот рублей 00 копеек,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Продавец:,ИП.Береговой М.И,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Покупатель:,Кристина +7 910 461-51-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
